OG_ID	gene_name	short_gene_name	aBSREL_any	absrel_num_dry_branches	absrel_dry_ge2	CNEE_bf3plus	Expr_any_Kidney	de_Kidney
OG_0003515	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003538	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003543	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003624	NA	NA	FALSE	0	0	TRUE	TRUE	1
OG_0003667	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003685	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003729	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003779	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003806	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003808	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003913	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003932	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0003967	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004019	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004021	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004054	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004080	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004095	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004103	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004108	NA	NA	FALSE	0	0	TRUE	TRUE	1
OG_0004134	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004138	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004144	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004197	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004229	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004232	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004254	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004297	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004326	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004382	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004400	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004402	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004403	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004407	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004443	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004521	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004550	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004681	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004708	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004715	NA	NA	FALSE	0	0	FALSE	TRUE	1
OG_0004785	NA	NA	FALSE	0	0	FALSE	TRUE	1
