OG_ID	gene_name	aBSREL_any	absrel_num_dry_branches	absrel_dry_ge2	CNEE_bf3plus	Expr_any_Heart	de_Heart
OG_0005054	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005087	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005110	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005135	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005136	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005143	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005168	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005189	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005195	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005208	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005211	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005216	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005220	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005328	NA	FALSE	0	0	TRUE	TRUE	1
OG_0005334	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005390	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005395	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005432	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005456	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005574	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005575	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005672	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005700	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005773	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005777	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005826	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005834	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005860	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005890	NA	FALSE	0	0	FALSE	TRUE	1
OG_0005994	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006011	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006025	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006030	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006181	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006215	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006216	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006333	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006334	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006384	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006543	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006593	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006617	NA	FALSE	0	0	TRUE	TRUE	1
OG_0006619	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006658	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006690	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006700	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006703	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006719	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006745	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006748	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006815	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006819	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006854	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006868	NA	FALSE	0	0	FALSE	TRUE	1
OG_0006974	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007079	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007091	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007111	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007129	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007133	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007175	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007231	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007290	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007316	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007378	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007400	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007406	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007437	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007461	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007470	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007505	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007555	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007575	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007614	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007625	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007715	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007749	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007766	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007816	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007834	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007847	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007875	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007882	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007885	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007897	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007905	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007906	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007909	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007918	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007921	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007922	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007964	NA	FALSE	0	0	FALSE	TRUE	1
OG_0007966	NA	FALSE	0	0	TRUE	TRUE	1
OG_0007971	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008002	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008008	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008052	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008064	NA	FALSE	0	0	TRUE	TRUE	1
OG_0008067	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008097	NA	FALSE	0	0	TRUE	TRUE	1
OG_0008098	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008117	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008146	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008172	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008206	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008237	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008252	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008259	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008308	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008419	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008450	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008451	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008456	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008530	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008531	ACTR3B	TRUE	1	0	FALSE	TRUE	1
OG_0008547	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008551	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008563	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008581	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008595	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008604	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008635	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008722	NA	FALSE	0	0	FALSE	TRUE	1
OG_0008756	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009005	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009023	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009055	NA	FALSE	0	0	TRUE	TRUE	1
OG_0009232	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009265	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009301	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009309	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009331	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009337	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009391	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009439	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009464	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009546	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009550	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009564	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009565	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009615	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009617	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009722	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009755	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009767	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009775	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009826	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009873	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009883	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009906	NA	FALSE	0	0	FALSE	TRUE	1
OG_0009929	NA	FALSE	0	0	FALSE	TRUE	1
OG_0010014	NA	FALSE	0	0	FALSE	TRUE	1
OG_0010033	NA	FALSE	0	0	FALSE	TRUE	1
OG_0010035	NA	FALSE	0	0	FALSE	TRUE	1
OG_0010051	NA	FALSE	0	0	FALSE	TRUE	1
OG_0010067	NA	FALSE	0	0	FALSE	TRUE	1
OG_0010156	NA	FALSE	0	0	FALSE	TRUE	1
OG_0010175	NA	FALSE	0	0	FALSE	TRUE	1
OG_0010192	NA	FALSE	0	0	FALSE	TRUE	1
OG_0010209	NA	FALSE	0	0	FALSE	TRUE	1
