"Tissue","OG","n_pairs","Pairs","gene_name","name_source"
"Kidney","OG_0002301",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","ZFPM2","parsed_from_gene_id"
"Kidney","OG_0002322",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","LOC100190204","taeGut_geneID"
"Kidney","OG_0002333",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","SLC35F5","taeGut_geneID"
"Kidney","OG_0002380",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","DPF2","taeGut_geneID"
"Kidney","OG_0002425",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","ITGA8","taeGut_geneID"
"Kidney","OG_0002428",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","GTF3C1","taeGut_geneID"
"Kidney","OG_0002470",2,"dysSti_vs_sakCri;sakLuc_vs_sakCan","CDH4","parsed_from_gene_id"
"Kidney","OG_0002533",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","IPO7","taeGut_geneID"
"Kidney","OG_0002545",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","PLAU","taeGut_geneID"
"Kidney","OG_0002557",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","CASP8AP2","taeGut_geneID"
"Kidney","OG_0002603",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","PCNX4","taeGut_geneID"
"Kidney","OG_0002654",2,"dysSti_vs_sakCri;thaAmb_vs_thaPel","ITGB6","taeGut_geneID"
"Kidney","OG_0002701",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","FBXO30","taeGut_geneID"
"Kidney","OG_0002702",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","OSBPL11","taeGut_geneID"
"Kidney","OG_0002718",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","STX2","taeGut_geneID"
"Kidney","OG_0002765",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","CCDC14","taeGut_geneID"
"Kidney","OG_0002800",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","TOP3B","taeGut_geneID"
"Kidney","OG_0002819",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","LOC100223684","taeGut_geneID"
"Kidney","OG_0002821",2,"thaAmb_vs_thaPel;thaRuf_vs_thaTor","LRRC32","parsed_from_gene_id"
"Kidney","OG_0002848",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","SCAF4","taeGut_geneID"
"Kidney","OG_0002849",2,"sakLuc_vs_sakCan;thaRuf_vs_thaTor","SCAF8","taeGut_geneID"
"Kidney","OG_0002877",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","SGMS1","parsed_from_gene_id"
"Kidney","OG_0002935",2,"dysSti_vs_sakCri;thaRuf_vs_thaTor","RGS2","taeGut_geneID"
"Kidney","OG_0003048",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","MTCL2","taeGut_geneID"
"Kidney","OG_0003053",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","ZNF462","galGal_geneID"
"Kidney","OG_0003093",2,"sakLuc_vs_sakCan;thaAmb_vs_thaPel","PHN","parsed_from_gene_id"
"Kidney","OG_0003104",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","LOC100229375","taeGut_geneID"
