"Tissue","OG","n_pairs","Pairs","gene_name","name_source"
"Muscle","OG_0004891",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","LOC100220322","taeGut_geneID"
"Muscle","OG_0004931",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","USP24","parsed_from_gene_id"
"Muscle","OG_0005076",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","DHX9","taeGut_geneID"
"Muscle","OG_0005192",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","GOLGA3","taeGut_geneID"
"Muscle","OG_0005490",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","PNPLA8","taeGut_geneID"
"Muscle","OG_0005542",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","DAG1","taeGut_geneID"
"Muscle","OG_0005848",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","SELENOO","taeGut_geneID"
"Muscle","OG_0005849",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","AZIN1","taeGut_geneID"
"Muscle","OG_0005860",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","NME2","taeGut_geneID"
"Muscle","OG_0006200",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","DCAF5","taeGut_geneID"
"Muscle","OG_0006225",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","LOC100224932","taeGut_geneID"
"Muscle","OG_0006254",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","HDLBP","taeGut_geneID"
"Muscle","OG_0006390",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","CHP1","taeGut_geneID"
"Muscle","OG_0006658",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","VDAC2","taeGut_geneID"
"Muscle","OG_0006738",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","HLTF","parsed_from_gene_id"
"Muscle","OG_0006748",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","YWHAH","taeGut_geneID"
"Muscle","OG_0006774",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","KANK4","taeGut_geneID"
"Muscle","OG_0006925",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","UQCRC2","taeGut_geneID"
"Muscle","OG_0006926",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","PMPCA","taeGut_geneID"
"Muscle","OG_0006943",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","RARS1","taeGut_geneID"
"Muscle","OG_0007120",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","RCAN2","taeGut_geneID"
"Muscle","OG_0007137",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","LDHB","taeGut_geneID"
"Muscle","OG_0007175",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","PDHA1","taeGut_geneID"
"Muscle","OG_0007290",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","MTO1","taeGut_geneID"
"Muscle","OG_0007414",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","GOLGA4","taeGut_geneID"
"Muscle","OG_0007728",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","VPS37A","galGal_geneID"
"Muscle","OG_0007812",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","LOC100222277","taeGut_geneID"
"Muscle","OG_0007918",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","FAM120A","taeGut_geneID"
"Muscle","OG_0007921",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","TNKS","parsed_from_gene_id"
"Muscle","OG_0007999",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","AKAP17A","taeGut_geneID"
"Muscle","OG_0008025",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","VPS50","taeGut_geneID"
"Muscle","OG_0008037",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","LONP1","taeGut_geneID"
"Muscle","OG_0008064",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","PDGFRA","taeGut_geneID"
"Muscle","OG_0008069",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","FLT1","parsed_from_gene_id"
"Muscle","OG_0008252",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","GHR","taeGut_geneID"
"Muscle","OG_0008281",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","EDRF1","taeGut_geneID"
"Muscle","OG_0008291",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","XPNPEP3","taeGut_geneID"
"Muscle","OG_0008496",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","ZER1","taeGut_geneID"
"Muscle","OG_0008778",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","CAPRIN1","taeGut_geneID"
"Muscle","OG_0008782",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","KLHL40","taeGut_geneID"
"Muscle","OG_0008797",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","VIRMA","taeGut_geneID"
"Muscle","OG_0008863",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","AKAP1","taeGut_geneID"
"Muscle","OG_0009015",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","UBAP1L","taeGut_geneID"
"Muscle","OG_0009047",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","PPM1F","taeGut_geneID"
"Muscle","OG_0009226",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CAB39","taeGut_geneID"
"Muscle","OG_0009274",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","FSD2","parsed_from_gene_id"
"Muscle","OG_0009370",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","Extl2","parsed_from_gene_id"
"Muscle","OG_0009375",4,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","LARS1","taeGut_geneID"
"Muscle","OG_0009424",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","BTG2","taeGut_geneID"
"Muscle","OG_0009452",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","PIK3R4","galGal_geneID"
"Muscle","OG_0009561",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","TMEFF1","taeGut_geneID"
"Muscle","OG_0009574",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","TSKU","taeGut_geneID"
"Muscle","OG_0009614",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","SYNGR2","taeGut_geneID"
"Muscle","OG_0009621",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","POLR1A","taeGut_geneID"
"Muscle","OG_0009708",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","RRP1B","taeGut_geneID"
"Muscle","OG_0009747",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MYBBP1A","taeGut_geneID"
"Muscle","OG_0009755",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","YPEL5","taeGut_geneID"
"Muscle","OG_0009758",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","UBE2L3","taeGut_geneID"
"Muscle","OG_0009850",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","CLTB","taeGut_geneID"
"Muscle","OG_0009906",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","MAVS","taeGut_geneID"
"Muscle","OG_0010010",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","UTP20","parsed_from_gene_id"
"Muscle","OG_0010265",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MBTPS1","taeGut_geneID"
"Muscle","OG_0010354",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","LMOD2","taeGut_geneID"
"Muscle","OG_0010355",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","PPIG","taeGut_geneID"
"Muscle","OG_0010443",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MMUT","taeGut_geneID"
"Muscle","OG_0010475",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","DST","taeGut_geneID"
"Muscle","OG_0010522",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","SGSM3","taeGut_geneID"
"Muscle","OG_0010533",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","FAF1","taeGut_geneID"
"Muscle","OG_0010555",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","STAM","taeGut_geneID"
"Muscle","OG_0010713",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","EHD4","taeGut_geneID"
"Muscle","OG_0010714",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","EHD3","taeGut_geneID"
"Muscle","OG_0010849",4,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","VWF","parsed_from_gene_id"
"Muscle","OG_0011046",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","UACA","taeGut_geneID"
"Muscle","OG_0011086",5,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","CUEDC1","taeGut_geneID"
"Muscle","OG_0011103",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","TMEM41B","taeGut_geneID"
"Muscle","OG_0011114",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","COQ8A","taeGut_geneID"
"Muscle","OG_0011125",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","TMEM131","parsed_from_gene_id"
"Muscle","OG_0011171",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","STYXL2","taeGut_geneID"
"Muscle","OG_0011384",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","WASHC5","taeGut_geneID"
"Muscle","OG_0011755",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","KLF4","taeGut_geneID"
"Muscle","OG_0011821",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","KPNB1","taeGut_geneID"
"Muscle","OG_0011823",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","IMPA1","taeGut_geneID"
"Muscle","OG_0011916",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","CEBPD","taeGut_geneID"
"Muscle","OG_0011917",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CEBPB","taeGut_geneID"
"Muscle","OG_0012161",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","VCPIP1","taeGut_geneID"
"Muscle","OG_0012211",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","TBC1D20","taeGut_geneID"
"Muscle","OG_0012238",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","stringtie_mRNA_16532","parsed_from_gene_id"
"Muscle","OG_0012267",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","C5H11orf24","taeGut_geneID"
"Muscle","OG_0012471",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","H1-0","taeGut_geneID"
"Muscle","OG_0012476",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","LOC100220586","taeGut_geneID"
"Muscle","OG_0012533",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","NUDC","taeGut_geneID"
"Muscle","OG_0012554",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","TRAPPC11","taeGut_geneID"
"Muscle","OG_0012586",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","MBD4","taeGut_geneID"
"Muscle","OG_0012627",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","LPGAT1","taeGut_geneID"
"Muscle","OG_0012636",5,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","TAF3","taeGut_geneID"
"Muscle","OG_0012682",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","VPS53","taeGut_geneID"
"Muscle","OG_0012693",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","FBXO9","taeGut_geneID"
"Muscle","OG_0012781",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","SIAH1","taeGut_geneID"
"Muscle","OG_0012795",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","FABP3","taeGut_geneID"
"Muscle","OG_0012797",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","LOC100223994","taeGut_geneID"
"Muscle","OG_0012858",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","RALBP1","taeGut_geneID"
"Muscle","OG_0012859",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaRuf_vs_thaTor","RALBP1","galGal_geneID"
"Muscle","OG_0012885",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","RXYLT1","taeGut_geneID"
"Muscle","OG_0012898",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","WDR3","taeGut_geneID"
"Muscle","OG_0012960",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","FAM210A","taeGut_geneID"
"Muscle","OG_0012975",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MYOD1","taeGut_geneID"
"Muscle","OG_0013141",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","GORASP1","taeGut_geneID"
"Muscle","OG_0013153",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","LSP1","taeGut_geneID"
"Muscle","OG_0013247",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ARHGDIA","taeGut_geneID"
"Muscle","OG_0013273",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","C2H7orf25","taeGut_geneID"
"Muscle","OG_0013282",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CACNA1C","parsed_from_gene_id"
"Muscle","OG_0013376",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","RARRES1","taeGut_geneID"
"Muscle","OG_0013494",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","ELAC2","taeGut_geneID"
"Muscle","OG_0013495",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","UBR7","taeGut_geneID"
"Muscle","OG_0013597",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","MPHOSPH8","taeGut_geneID"
"Muscle","OG_0013631",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","SLC35G1","taeGut_geneID"
"Muscle","OG_0013743",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","LOC100222067","taeGut_geneID"
"Muscle","OG_0013910",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","FBXL4","taeGut_geneID"
"Muscle","OG_0013939",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MAP1LC3B","taeGut_geneID"
"Muscle","OG_0013944",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","GABARAPL1","galGal_geneID"
"Muscle","OG_0013980",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","COQ6","taeGut_geneID"
"Muscle","OG_0014064",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","ZNF407","parsed_from_gene_id"
"Muscle","OG_0014198",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","ASXL3","taeGut_geneID"
"Muscle","OG_0014224",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","SLC25A20","taeGut_geneID"
"Muscle","OG_0014297",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","NMI","taeGut_geneID"
"Muscle","OG_0014402",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MAEA","taeGut_geneID"
"Muscle","OG_0014503",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","CNOT2","taeGut_geneID"
"Muscle","OG_0014516",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","PLA2G12A","taeGut_geneID"
"Muscle","OG_0014540",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","POLR1E","taeGut_geneID"
"Muscle","OG_0014635",4,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","PRR33","taeGut_geneID"
"Muscle","OG_0014751",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","CHMP1B","taeGut_geneID"
"Muscle","OG_0014824",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","NDUFS2","taeGut_geneID"
"Muscle","OG_0014868",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","RNF25","taeGut_geneID"
"Muscle","OG_0015090",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ATF6","taeGut_geneID"
"Muscle","OG_0015101",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","GASK1B","taeGut_geneID"
