OG	sakCan01_Brain	sakCan01_Heart	sakCan01_Kidney	sakCan01_Liver	sakCan01_Muscle	sakCan02_Brain	sakCan02_Kidney	sakCan02_Liver	sakCan02_Muscle	sakCan03_Brain	sakCan03_Heart	sakCan03_Kidney	sakCan03_Liver	sakCan03_Muscle	sakCan04_Heart
OG_0027180	2549.528	89.785	48.0	108.267	33.203	3049.416	31.991	58.5	47.0	2225.155	358.0	190.6	25.0	0.0	82.918
OG_0027181	4.0	2.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	5.0	1.0	0.0	0.0	1.0
OG_0027182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
OG_0027184	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
OG_0027190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0027192	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0
OG_0027193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0027198	68.0	278.0	270.0	368.0	245.0	198.0	285.0	303.0	157.0	107.0	159.0	158.0	140.0	228.0	262.0
OG_0027205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0027469	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0027568	84.587	155.548	0.0	133.983	149.154	83.042	113.643	0.0	104.49	0.0	0.0	0.0	0.0	0.0	0.0
OG_0027664	66.751	0.0	5.909	4.03	0.0	7.035	1.178	0.0	0.0	22.04	1.326	10.863	2.833	0.0	4.08
OG_0027665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0027666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0027810	185.009	0.0	42.25	0.0	85.63900000000001	33.247	0.0	2.568	9.92	138.492	138.034	17.59	6.66	89.0	91.065
OG_0027811	30.914	229.221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.365	0.0	0.0	0.0	0.0	0.0
OG_0027812	6117.585	0.0	115.286	38.0	180.759	8057.783	75.0	15.0	148.0	2423.192	79.0	0.0	45.019	31.0	0.0
OG_0027813	1199.875	10.0	4.0	18.68	7.386	928.288	1.0	22.0	11.032	1769.455	11.46	0.0	12.855	2.42	11.0
OG_0027814	0.0	0.0	1.959	0.0	0.0	0.0	2.0	0.0	0.0	141.946	0.0	0.0	0.0	0.0	3.0
OG_0027815	0.0	0.0	0.0	5.0	0.0	236.735	0.0	0.0	7.0	0.0	0.0	0.0	3.0	0.0	0.0
OG_0027816	1538.0	1.0	18.0	0.0	1.0	1017.0	20.0	1.0	6.0	1389.0	6.0	14.0	0.0	3.0	17.0
OG_0027817	0.0	0.0	0.0	5.443	2.176	8.533	0.0	0.0	6.325	0.0	0.0	9.681	0.0	0.0	4.429
OG_0027818	0.0	0.0	136.094	0.0	0.0	0.0	125.202	0.0	0.0	0.0	0.0	95.969	0.0	0.0	0.0
OG_0027819	0.0	0.0	0.0	16.239	0.0	0.0	146.112	0.0	0.0	17.655	9.508	0.0	0.0	3.008	15.693
OG_0027830	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.971	0.0	0.0	0.0	0.0	0.0	0.0	79.054
OG_0027834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0027840	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0027843	885.392	0.0	0.0	0.0	193.147	0.0	78.041	491.935	679.428	653.121	759.729	0.0	0.0	161.355	184.031
OG_0027844	221.135	35.035	0.0	0.0	25.715	511.208	136.035	0.0	0.0	386.268	89.982	155.613	0.0	11.866	0.0
OG_0027845	91.618	1146.25	270.814	219.963	430.678	0.0	355.296	92.707	218.992	94.713	5103.151	1030.035	443.27	352.889	2986.709
OG_0027846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	935.165	0.0	768.577	0.0	0.0	522.892	0.0
OG_0027854	304.566	1314.2230000000002	34.065	9.028	1611.218	11.07	0.0	9.022	0.0	106.186	2.396	14.872	2.536	0.0	18.532
OG_0027857	0.0	0.0	0.0	9.256	0.0	0.0	0.0	0.0	21.0	35.198	0.0	428.995	225.359	0.0	0.0
OG_0027882	149.075	110.318	5382.649	4246.782	2112.282	277.994	7590.417	6496.057	1503.117	207.573	188.213	5654.169	2040.897	421.499	99.024
OG_0027883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0027884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0027888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.49	10.074	0.0	0.0	0.0	0.0
OG_0027890	3.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0027891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.934
OG_0027894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0027957	4179.382	0.0	1.0	0.0	1.0	7467.187	0.0	1.0	57.395	3916.54	1.0	0.0	0.0	0.0	0.0
OG_0027976	0.0	0.0	0.0	0.0	0.0	0.0	12.858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.255
OG_0027984	141.494	195.783	754.287	248.0	92.083	105.52	293.997	189.72	39.587	107.684	278.819	523.042	346.789	63.0	241.654
OG_0028006	259.729	198.689	256.016	133.031	89.125	22.23	100.623	239.154	34.014	242.745	109.08	280.156	120.971	20.092	371.371
OG_0028008	0.0	0.0	0.0	0.0	0.0	0.0	23.981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0028010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
