OG	thaBer01_Brain	thaBer01_Heart	thaBer01_Liver	thaBer01_Muscle	thaBer02_Brain	thaBer02_Heart	thaBer02_Liver	thaBer02_Muscle	thaBer03_Brain	thaBer03_Heart	thaBer03_Liver	thaBer03_Muscle
OG_0023437	2.0	0.0	1.0	21.0	2.0	0.0	2.0	0.0	14.0	22.0	149.0	12.0
OG_0023438	37.0	7.0	78.0	49.0	22.0	43.0	108.0	11.0	18.0	66.0	161.0	14.0
OG_0023439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0023440	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0023447	262.0	395.0	402.0	616.0	372.0	316.0	634.0	347.0	374.0	805.0	1011.0	372.0
OG_0023449	84.049	174.811	55.0	115.627	100.637	50.528	68.702	67.217	105.272	211.112	100.999	17.581
OG_0023453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0023455	279.558	140.726	81.082	114.0	375.712	110.892	123.095	57.406	418.943	288.921	181.981	85.482
OG_0023458	227.236	301.082	191.0	319.34	425.424	316.936	227.991	208.2	418.339	583.07	402.35	174.6
OG_0023464	67.769	0.0	52.277	0.0	38.188	0.0	109.771	0.0	0.0	0.0	632.618	118.719
OG_0023465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0023466	21.228	13.139	0.0	31.772	0.0	35.665	119.307	26.798	12.322	44.36	145.095	34.752
OG_0023471	16.63	33.624	30.611	44.337	59.611	47.132	80.574	45.29	24.838	104.568	171.965	80.771
OG_0023475	314.38	1678.884	400.9	1236.52	370.844	625.45	486.61899999999997	1157.1999999999998	418.93	950.504	287.682	729.675
OG_0023476	0.0	0.0	0.0	0.0	17.557	9.139	0.0	0.0	0.0	0.0	0.0	0.0
OG_0023479	87.713	64.586	102.859	118.76	196.253	108.844	177.84	97.857	252.719	141.806	111.771	149.022
OG_0023485	16.216	25.012	17.57	48.307	69.84	105.451	93.424	23.292	71.625	78.011	42.148	40.093
OG_0023496	722.462	731.0	1091.197	1329.29	1116.0	1617.0	1510.805	837.0	1092.511	1412.203	2390.532	672.64
OG_0023555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0023566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OG_0023660	139.606	171.425	781.422	11.0	143.50900000000001	42.264	645.976	460.984	0.0	0.0	1125.14	0.0
