"Tissue","OG","n_pairs","Pairs","gene_name","name_source"
"Brain","OG_0002821",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","LRRC32","parsed_from_gene_id"
"Brain","OG_0002848",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","SCAF4","taeGut_geneID"
"Brain","OG_0002849",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","SCAF8","taeGut_geneID"
"Brain","OG_0002868",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MECOM","taeGut_geneID"
"Brain","OG_0003004",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","TPP2","taeGut_geneID"
"Brain","OG_0003051",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","LUZP1","taeGut_geneID"
"Brain","OG_0003075",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","LRRK2","taeGut_geneID"
"Brain","OG_0003151",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CDK17","taeGut_geneID"
"Brain","OG_0003242",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MED14","taeGut_geneID"
"Brain","OG_0003280",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","FOXO3","taeGut_geneID"
"Brain","OG_0003299",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","SSTR1","taeGut_geneID"
"Brain","OG_0003319",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","UNC79","parsed_from_gene_id"
"Brain","OG_0003322",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","P3H1","taeGut_geneID"
"Brain","OG_0003379",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","USP8","taeGut_geneID"
"Brain","OG_0003400",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","HYOU1","taeGut_geneID"
"Brain","OG_0003402",3,"dysSti_vs_sakCri;thaBer_vs_thaAtr;thaRuf_vs_thaTor","HSPA2","taeGut_geneID"
"Brain","OG_0003460",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","SLC39A14","taeGut_geneID"
"Brain","OG_0003489",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","TSC22D3","taeGut_geneID"
