"Tissue","OG","n_pairs","Pairs","gene_name","name_source"
"Heart","OG_0003861",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","ATG2A","galGal_geneID"
"Heart","OG_0003932",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","PANK3","taeGut_geneID"
"Heart","OG_0003973",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","LOC100223247","taeGut_geneID"
"Heart","OG_0003989",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ASB11","taeGut_geneID"
"Heart","OG_0004097",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","NRAP","taeGut_geneID"
"Heart","OG_0004109",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","KDM1A","taeGut_geneID"
"Heart","OG_0004130",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","ACAA2","taeGut_geneID"
"Heart","OG_0004158",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","BMP7","taeGut_geneID"
"Heart","OG_0004303",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","FECH","galGal_geneID"
"Heart","OG_0004326",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CTSD","taeGut_geneID"
"Heart","OG_0004384",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","HADHA","taeGut_geneID"
"Heart","OG_0004407",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","PDK1","galGal_geneID"
"Heart","OG_0004411",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","PDK4","taeGut_geneID"
"Heart","OG_0004459",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","RNH1","taeGut_geneID"
"Heart","OG_0004611",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","RSBN1L","taeGut_geneID"
