"Tissue","OG","n_pairs","Pairs","gene_name","name_source"
"Liver","OG_0006943",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","RARS1","taeGut_geneID"
"Liver","OG_0007000",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MOV10","taeGut_geneID"
"Liver","OG_0007223",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","THBS1","taeGut_geneID"
"Liver","OG_0007273",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","TTC13","taeGut_geneID"
"Liver","OG_0007414",4,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","GOLGA4","taeGut_geneID"
"Liver","OG_0007520",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","INO80","taeGut_geneID"
"Liver","OG_0007577",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","TSPAN12","galGal_geneID"
"Liver","OG_0007693",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","RET","taeGut_geneID"
"Liver","OG_0007694",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","WAC","taeGut_geneID"
"Liver","OG_0007702",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","TBC1D5","parsed_from_gene_id"
"Liver","OG_0007882",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","VIM","taeGut_geneID"
"Liver","OG_0008015",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","TCAIM","galGal_geneID"
"Liver","OG_0008350",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","PIK3AP1","taeGut_geneID"
"Liver","OG_0008490",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","INPP5F","taeGut_geneID"
"Liver","OG_0008496",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ZER1","taeGut_geneID"
"Liver","OG_0008604",3,"sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","RETREG2","taeGut_geneID"
"Liver","OG_0008635",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","DEPDC7","taeGut_geneID"
"Liver","OG_0008649",3,"thaAmb_vs_thaPel;thaBer_vs_thaAtr;thaRuf_vs_thaTor","AQR","taeGut_geneID"
"Liver","OG_0009031",3,"dysSti_vs_sakCri;thaAmb_vs_thaPel;thaBer_vs_thaAtr","SPRY1","taeGut_geneID"
"Liver","OG_0009226",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","CAB39","taeGut_geneID"
"Liver","OG_0009420",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaRuf_vs_thaTor","TOB1","taeGut_geneID"
"Liver","OG_0009424",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","BTG2","taeGut_geneID"
"Liver","OG_0009546",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","HAUS6","taeGut_geneID"
"Liver","OG_0009547",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","MISP","taeGut_geneID"
"Liver","OG_0009565",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","SOX9","taeGut_geneID"
"Liver","OG_0009689",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel","ETS2","taeGut_geneID"
"Liver","OG_0009690",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","ETS1","galGal_geneID"
"Liver","OG_0009906",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","MAVS","taeGut_geneID"
"Liver","OG_0009966",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","SYT12","taeGut_geneID"
"Liver","OG_0010017",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","QRSL1","taeGut_geneID"
"Liver","OG_0010286",3,"sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","GLUL","taeGut_geneID"
"Liver","OG_0010555",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","STAM","taeGut_geneID"
"Liver","OG_0010557",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","STAM2","taeGut_geneID"
"Liver","OG_0010590",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaRuf_vs_thaTor","ABAT","taeGut_geneID"
"Liver","OG_0010617",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","AOAH","taeGut_geneID"
"Liver","OG_0011045",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr;thaRuf_vs_thaTor","FAS","galGal_geneID"
"Liver","OG_0011103",3,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaBer_vs_thaAtr","TMEM41B","taeGut_geneID"
"Liver","OG_0011207",4,"dysSti_vs_sakCri;sakLuc_vs_sakCan;thaAmb_vs_thaPel;thaBer_vs_thaAtr","CSGALNACT2","taeGut_geneID"
